biogrid_id,entrez_a,entrez_b,gene_a,gene_b,in_glycolysis_a,in_glycolysis_b,interaction_pair
554049,65123,5518,INTS3,PPP2R1A,0,1,5518 :: 65123
554050,80789,5518,INTS5,PPP2R1A,0,1,5518 :: 80789
554051,26512,5518,INTS6,PPP2R1A,0,1,26512 :: 5518
554052,26173,5519,INTS1,PPP2R1B,0,1,26173 :: 5519
554053,65123,5519,INTS3,PPP2R1B,0,1,5519 :: 65123
554054,80789,5519,INTS5,PPP2R1B,0,1,5519 :: 80789
554055,26512,5519,INTS6,PPP2R1B,0,1,26512 :: 5519
554058,26173,5515,INTS1,PPP2CA,0,1,26173 :: 5515
554059,26512,5515,INTS6,PPP2CA,0,1,26512 :: 5515
554060,26173,5516,INTS1,PPP2CB,0,1,26173 :: 5516
554061,26512,5516,INTS6,PPP2CB,0,1,26512 :: 5516
554062,65123,5516,INTS3,PPP2CB,0,1,5516 :: 65123
554063,80789,5516,INTS5,PPP2CB,0,1,5516 :: 80789
555710,5591,5515,PRKDC,PPP2CA,0,1,5515 :: 5591
556234,7013,5515,TERF1,PPP2CA,0,1,5515 :: 7013
556235,7013,5516,TERF1,PPP2CB,0,1,5516 :: 7013
556382,7014,5211,TERF2,PFKL,0,1,5211 :: 7014
559863,91445,5315,RNF185,PKM,0,1,5315 :: 91445
560927,7316,5208,UBC,PFKFB2,0,1,5208 :: 7316
560935,7316,230,UBC,ALDOC,0,1,230 :: 7316
561008,7316,5518,UBC,PPP2R1A,0,1,5518 :: 7316
565386,5515,253143,PPP2CA,PRR14L,1,0,253143 :: 5515
565391,5515,78994,PPP2CA,PRR14,1,0,5515 :: 78994
565393,5515,51807,PPP2CA,TUBA8,1,0,51807 :: 5515
565398,5515,23141,PPP2CA,ANKLE2,1,0,23141 :: 5515
565404,5515,9857,PPP2CA,CEP350,1,0,5515 :: 9857
565406,5515,7871,PPP2CA,SLMAP,1,0,5515 :: 7871
565415,5515,3837,PPP2CA,KPNB1,1,0,3837 :: 5515
565418,5516,345651,PPP2CB,ACTBL2,1,0,345651 :: 5516
565419,5516,253143,PPP2CB,PRR14L,1,0,253143 :: 5516
565423,5516,80143,PPP2CB,SIKE1,1,0,5516 :: 80143
565425,5516,78994,PPP2CB,PRR14,1,0,5516 :: 78994
565427,5516,51400,PPP2CB,PPME1,1,0,51400 :: 5516
565431,5516,23141,PPP2CB,ANKLE2,1,0,23141 :: 5516
565437,5516,10471,PPP2CB,PFDN6,1,0,10471 :: 5516
565438,5516,8500,PPP2CB,PPFIA1,1,0,5516 :: 8500
565439,5516,7871,PPP2CB,SLMAP,1,0,5516 :: 7871
565444,5516,5529,PPP2CB,PPP2R5E,1,0,5516 :: 5529
565446,5516,5527,PPP2CB,PPP2R5C,1,0,5516 :: 5527
565449,5516,5204,PPP2CB,PFDN5,1,0,5204 :: 5516
565450,5516,5202,PPP2CB,PFDN2,1,0,5202 :: 5516
565453,5518,253143,PPP2R1A,PRR14L,1,0,253143 :: 5518
565458,5518,78994,PPP2R1A,PRR14,1,0,5518 :: 78994
565459,5518,56256,PPP2R1A,SERTAD4,1,0,5518 :: 56256
565461,5518,55596,PPP2R1A,ZCCHC8,1,0,5518 :: 55596
565467,5518,23141,PPP2R1A,ANKLE2,1,0,23141 :: 5518
565469,5518,10179,PPP2R1A,RBM7,1,0,10179 :: 5518
565470,5518,9857,PPP2R1A,CEP350,1,0,5518 :: 9857
565472,5518,7871,PPP2R1A,SLMAP,1,0,5518 :: 7871
565474,5518,6280,PPP2R1A,S100A9,1,0,5518 :: 6280
565481,5518,4026,PPP2R1A,LPP,1,0,4026 :: 5518
565525,5521,5519,PPP2R2B,PPP2R1B,0,1,5519 :: 5521
565526,5521,5518,PPP2R2B,PPP2R1A,0,1,5518 :: 5521
565527,5521,5516,PPP2R2B,PPP2CB,0,1,5516 :: 5521
565528,5521,5515,PPP2R2B,PPP2CA,0,1,5515 :: 5521
565566,55844,5519,PPP2R2D,PPP2R1B,0,1,5519 :: 55844
565568,55844,5516,PPP2R2D,PPP2CB,0,1,5516 :: 55844
565627,5515,26127,PPP2CA,FGFR1OP2,1,0,26127 :: 5515
565629,5516,4628,PPP2CB,MYH10,1,0,4628 :: 5516
565630,5516,104,PPP2CB,ADARB1,1,0,104 :: 5516
565631,5518,26127,PPP2R1A,FGFR1OP2,1,0,26127 :: 5518
565632,5520,2597,PPP2R2A,GAPDH,0,1,2597 :: 5520
